iter	Passed	Remaining
0	129	129375
1	131	65494
2	132	44053
3	133	33284
4	134	26843
5	135	22449
6	136	19366
7	137	17069
8	138	15285
9	139	13818
10	141	12684
11	142	11704
12	143	10914
13	144	10204
14	145	9582
15	146	9034
16	147	8550
17	148	8112
18	149	7719
19	150	7367
20	151	7051
21	152	6758
22	152	6487
23	153	6247
24	154	6017
25	154	5803
26	155	5606
27	156	5428
28	157	5265
29	158	5112
30	159	4977
31	159	4836
32	160	4703
33	161	4578
34	161	4459
35	162	4347
36	162	4240
37	163	4141
38	164	4048
39	164	3957
40	165	3871
41	166	3789
42	166	3710
43	167	3633
44	167	3561
45	168	3491
46	168	3424
47	169	3362
48	170	3301
49	170	3245
50	171	3194
51	172	3147
52	173	3104
53	174	3055
54	175	3007
55	175	2961
56	176	2916
57	176	2872
58	177	2831
59	178	2794
60	178	2753
61	179	2714
62	179	2677
63	180	2640
64	181	2604
65	181	2569
66	182	2536
67	182	2503
68	183	2471
69	183	2440
70	184	2410
71	184	2382
72	185	2355
73	186	2330
74	187	2312
75	188	2292
76	189	2268
77	189	2244
78	190	2220
79	191	2197
80	191	2174
81	192	2151
82	192	2126
83	193	2107
84	193	2088
85	194	2068
86	195	2048
87	195	2030
88	196	2013
89	197	1995
90	198	1978
91	198	1960
92	199	1943
93	199	1926
94	200	1910
95	201	1894
96	202	1883
97	203	1872
98	204	1857
99	204	1842
100	205	1827
101	205	1813
102	206	1799
103	207	1785
104	207	1772
105	208	1758
106	209	1745
107	209	1731
108	210	1717
109	210	1704
110	211	1691
111	211	1678
112	212	1666
113	212	1653
114	213	1641
115	213	1629
116	214	1616
117	214	1606
118	215	1595
119	216	1585
120	217	1579
121	218	1571
122	218	1561
123	219	1552
124	220	1542
125	220	1532
126	221	1522
127	222	1513
128	222	1504
129	223	1494
130	223	1485
131	224	1477
132	225	1468
133	225	1460
134	226	1451
135	227	1443
136	227	1436
137	228	1427
138	229	1419
139	229	1410
140	230	1403
141	231	1396
142	232	1391
143	233	1385
144	233	1378
145	234	1371
146	234	1363
147	235	1356
148	236	1348
149	236	1341
150	237	1335
151	238	1328
152	238	1321
153	239	1314
154	239	1307
155	240	1300
156	240	1293
157	241	1286
158	242	1280
159	242	1273
160	242	1266
161	243	1259
162	243	1252
163	244	1246
164	245	1240
165	246	1236
166	247	1233
167	248	1228
168	248	1223
169	249	1217
170	250	1212
171	250	1206
172	251	1200
173	251	1195
174	252	1190
175	253	1185
176	253	1179
177	254	1175
178	255	1169
179	255	1164
180	256	1159
181	256	1153
182	257	1148
183	257	1143
184	258	1138
185	258	1133
186	259	1128
187	260	1123
188	261	1119
189	262	1117
190	263	1114
191	263	1109
192	264	1105
193	264	1100
194	265	1096
195	266	1092
196	267	1088
197	267	1084
198	268	1080
199	268	1075
200	269	1070
201	269	1066
202	270	1061
203	271	1057
204	271	1053
205	272	1048
206	272	1045
207	273	1040
208	273	1036
209	274	1032
210	275	1029
211	276	1026
212	277	1024
213	278	1021
214	278	1017
215	279	1014
216	279	1010
217	280	1006
218	281	1003
219	281	999
220	282	996
221	283	992
222	283	988
223	284	984
224	284	980
225	285	977
226	285	973
227	286	969
228	286	966
229	287	962
230	288	958
231	288	955
232	289	951
233	289	947
234	290	944
235	291	942
236	292	941
237	293	938
238	293	935
239	294	932
240	295	929
241	295	925
242	296	922
243	297	920
244	297	917
245	298	914
246	298	911
247	299	908
248	300	905
249	300	902
250	301	899
251	302	896
252	302	893
253	303	890
254	303	887
255	304	884
256	305	882
257	306	880
258	307	878
259	307	876
260	308	873
261	309	870
262	309	867
263	310	865
264	310	862
265	311	859
266	312	856
267	312	854
268	313	851
269	313	848
270	314	845
271	314	842
272	315	839
273	315	837
274	316	834
275	317	831
276	317	829
277	318	826
278	318	824
279	319	822
280	320	819
281	321	818
282	322	817
283	323	815
284	324	813
285	324	810
286	325	808
287	326	806
288	326	803
289	327	801
290	328	799
291	328	796
292	329	794
293	329	791
294	330	789
295	330	786
296	331	784
297	331	781
298	332	779
299	333	777
300	333	774
301	334	772
302	334	770
303	335	768
304	336	767
305	337	766
306	338	764
307	339	762
308	339	760
309	340	758
310	341	756
311	342	754
312	342	752
313	343	750
314	344	748
315	344	746
316	345	744
317	345	741
318	346	739
319	346	737
320	347	735
321	348	732
322	348	730
323	349	728
324	350	727
325	350	725
326	351	723
327	352	722
328	353	721
329	354	719
330	355	717
331	355	715
332	356	713
333	356	711
334	357	709
335	358	708
336	358	706
337	359	703
338	359	701
339	360	699
340	360	697
341	361	696
342	362	694
343	362	691
344	363	689
345	364	688
346	364	686
347	365	685
348	366	684
349	367	682
350	368	681
351	369	679
352	370	678
353	370	676
354	371	674
355	372	673
356	372	671
357	373	670
358	374	668
359	374	666
360	375	664
361	375	662
362	376	660
363	377	658
364	377	657
365	378	655
366	378	653
367	379	651
368	380	650
369	381	649
370	382	648
371	383	647
372	383	645
373	384	643
374	384	641
375	385	639
376	386	637
377	386	636
378	387	634
379	387	632
380	388	630
381	388	628
382	389	627
383	390	625
384	390	624
385	391	622
386	391	620
387	392	619
388	392	617
389	393	615
390	394	613
391	394	612
392	395	610
393	396	609
394	397	608
395	397	606
396	398	604
397	398	603
398	399	601
399	399	599
400	400	598
401	400	596
402	401	594
403	402	593
404	402	591
405	403	589
406	403	588
407	404	586
408	404	584
409	405	583
410	405	581
411	406	580
412	407	578
413	407	577
414	408	575
415	409	574
416	409	572
417	410	571
418	411	570
419	412	569
420	413	568
421	413	566
422	414	565
423	414	563
424	415	562
425	416	560
426	416	559
427	417	557
428	417	556
429	418	554
430	418	552
431	419	551
432	420	549
433	420	548
434	421	546
435	421	545
436	422	543
437	422	542
438	423	540
439	423	539
440	424	538
441	425	536
442	426	535
443	426	534
444	427	533
445	428	531
446	428	530
447	429	528
448	429	527
449	430	526
450	431	524
451	431	523
452	432	521
453	432	520
454	433	519
455	434	517
456	434	516
457	435	515
458	435	513
459	436	512
460	437	511
461	437	509
462	438	508
463	438	506
464	439	506
465	440	505
